"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","PID","REACTOME","VALIDATION","DIANA","MIRANDA","MIRBRIDGE","PICTAR","PITA","RNA22","TARGETSCAN","TOTAL_HIT"
"SLC20A1","solute carrier family 20 (phosphate transporter), member 1","0","0","0","4","","V","V","V","V","V","","","5"
"SOX12","SRY (sex determining region Y)-box 12","0","0","0","0","","V","V","","V","V","","V","5"
"SUV420H1","suppressor of variegation 4-20 homolog 1 (Drosophila)","1","0","1","0","","V","V","","V","V","","V","5"
"THRB","thyroid hormone receptor, beta","1","1","1","3","","V","V","V","","V","","V","5"
"TIPARP","TCDD-inducible poly(ADP-ribose) polymerase","0","0","0","0","","V","V","","V","V","","V","5"
"TMTC4","transmembrane and tetratricopeptide repeat containing 4","0","0","0","0","","V","V","","V","V","","V","5"
"TP53INP2","tumor protein p53 inducible nuclear protein 2","0","0","0","0","","V","V","","V","V","","V","5"
"TRPS1","trichorhinophalangeal syndrome I","0","0","0","0","","V","V","","V","V","","V","5"
"UBE2Q1","ubiquitin-conjugating enzyme E2Q family member 1","1","0","0","4","","V","V","","V","V","","V","5"
"USP10","ubiquitin specific peptidase 10","0","0","0","0","","V","V","","V","V","","V","5"
"USP47","ubiquitin specific peptidase 47","0","0","0","0","","V","V","","V","V","","V","5"
"ZBTB4","zinc finger and BTB domain containing 4","0","0","0","0","","V","V","","V","V","V","","5"
"ZC3H7B","zinc finger CCCH-type containing 7B","0","0","0","0","","V","V","","V","V","","V","5"
"ZNF385A","zinc finger protein 385A","0","0","1","0","","V","V","","V","V","","V","5"
"EID1","EP300 interacting inhibitor of differentiation 1","0","0","0","0","","","V","V","V","V","","V","5"
"H3F3B","H3 histone, family 3B (H3.3B)","1","0","2","0","","","V","","V","V","V","V","5"
"ABCF2","ATP-binding cassette, sub-family F (GCN20), member 2","0","0","0","0","","V","V","","V","V","","","4"
"ADAMTSL3","ADAMTS-like 3","0","0","0","0","","V","V","","V","","","V","4"
"AFF3","AF4/FMR2 family, member 3","0","0","0","0","","V","V","","","V","","V","4"
"AHCYL2","adenosylhomocysteinase-like 2","3","0","0","0","","V","V","","","V","","V","4"
"AKAP11","A kinase (PRKA) anchor protein 11","0","0","0","0","","V","V","","","V","","V","4"
"AMMECR1","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1","0","0","0","0","","V","V","","","V","","V","4"
"APOBEC3B","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B","0","0","0","0","","V","V","V","V","","","","4"
"ARRDC3","arrestin domain containing 3","0","0","0","0","","V","V","","V","V","","","4"
"BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","2","1","3","2","","V","V","","V","V","","","4"
"BTG1","B-cell translocation gene 1, anti-proliferative","0","0","0","0","","V","V","","V","V","","","4"
"C6ORF47","chromosome 6 open reading frame 47","0","0","0","0","","V","V","","V","","","V","4"
"CHST10","carbohydrate sulfotransferase 10","0","0","0","0","","V","V","","","V","","V","4"
"CIT","citron (rho-interacting, serine/threonine kinase 21)","0","0","0","0","","V","V","","V","V","","","4"
"CLK3","CDC-like kinase 3","0","0","0","0","","V","V","","V","V","","","4"
"CNOT6L","CCR4-NOT transcription complex, subunit 6-like","1","0","0","5","","V","V","","","V","","V","4"
"CORIN","corin, serine peptidase","0","1","0","0","","V","V","","V","","","V","4"
"COTL1","coactosin-like 1 (Dictyostelium)","0","0","0","0","","V","","V","V","","","V","4"
"CSNK1A1L","casein kinase 1, alpha 1-like","2","0","0","0","","V","V","","V","V","","","4"
"DTX4","deltex homolog 4 (Drosophila)","1","0","0","0","","V","V","","","V","","V","4"
"DVL2","dishevelled segment polarity protein 2","5","0","3","0","","V","V","","V","V","","","4"
"EIF2C2","","0","0","0","2","","V","V","","V","","V","","4"
"EPHA4","EPH receptor A4","1","1","2","0","","V","","V","V","V","","","4"
"ERC1","ELKS/RAB6-interacting/CAST family member 1","0","0","2","0","","V","","","V","V","V","","4"
"FOSL1","FOS-like antigen 1","1","1","6","0","","V","V","","V","V","","","4"
"FOXP4","forkhead box P4","0","0","0","0","","V","V","","V","","","V","4"
"GALNTL6","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6","2","0","0","0","","V","V","","","V","","V","4"
"GATAD2A","GATA zinc finger domain containing 2A","0","0","1","0","","V","","V","","V","","V","4"
"GATAD2B","GATA zinc finger domain containing 2B","0","0","1","0","","V","V","","","V","","V","4"
"GNAI2","guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2","11","0","17","26","","V","","V","V","","","V","4"
"GNG2","guanine nucleotide binding protein (G protein), gamma 2","1","0","13","47","","V","V","","","V","","V","4"
"GPR85","G protein-coupled receptor 85","0","0","0","0","","V","V","V","","V","","","4"
"GTPBP1","GTP binding protein 1","0","0","0","0","","V","V","","","V","","V","4"
"HK1","hexokinase 1","10","2","1","5","","V","","","V","V","","V","4"
"HTRA2","HtrA serine peptidase 2","1","0","0","0","","V","V","","","V","","V","4"
"KCNH4","potassium voltage-gated channel, subfamily H (eag-related), member 4","0","0","0","3","","V","V","","V","V","","","4"
"KCNK3","potassium channel, subfamily K, member 3","0","0","0","4","","V","V","","","V","","V","4"
"KIAA1468","KIAA1468","0","0","0","0","","V","V","","","V","","V","4"
"L3MBTL3","l(3)mbt-like 3 (Drosophila)","0","0","0","0","","V","V","","","V","","V","4"
"LENG8","leukocyte receptor cluster (LRC) member 8","0","0","0","0","","V","V","","","V","","V","4"
"MAML1","mastermind-like 1 (Drosophila)","1","0","2","6","","V","V","","","V","","V","4"
"MIER3","mesoderm induction early response 1, family member 3","0","0","0","0","","V","V","","V","V","","","4"
"MLLT6","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6","0","0","0","0","","V","V","","","V","","V","4"
"MSI1","musashi RNA-binding protein 1","0","0","0","0","","V","","","V","V","","V","4"
"MXD1","MAX dimerization protein 1","0","0","2","0","","V","V","","","V","","V","4"
"MXD4","MAX dimerization protein 4","0","0","1","0","","V","","V","V","","","V","4"
"NCOA1","nuclear receptor coactivator 1","0","3","9","5","","V","V","V","","","","V","4"
"NFIX","nuclear factor I/X (CCAAT-binding transcription factor)","0","0","0","5","","V","V","","","V","","V","4"
"NNAT","neuronatin","0","0","0","0","","V","V","","V","","","V","4"
"NSFL1C","NSFL1 (p97) cofactor (p47)","1","0","0","0","","V","V","","","V","","V","4"
"PCLO","piccolo presynaptic cytomatrix protein","0","0","0","0","","V","V","","","V","","V","4"
"PDE3A","phosphodiesterase 3A, cGMP-inhibited","3","1","0","8","","V","V","","V","V","","","4"
"PHF2","PHD finger protein 2","0","0","0","0","","V","V","","V","V","","","4"
"PLLP","plasmolipin","0","0","0","0","","V","","","","V","V","V","4"
"PPARD","peroxisome proliferator-activated receptor delta","4","2","2","3","","V","","V","","V","","V","4"
"PROSAPIP1","","0","0","0","0","","V","V","","","V","","V","4"
"PSMF1","proteasome (prosome, macropain) inhibitor subunit 1 (PI31)","1","0","0","63","","V","V","","V","","","V","4"
"RAVER1","ribonucleoprotein, PTB-binding 1","0","0","0","0","","V","V","","V","","","V","4"
"RNF8","ring finger protein 8, E3 ubiquitin protein ligase","0","0","1","0","","V","V","V","","V","","","4"
"SCN1B","sodium channel, voltage-gated, type I, beta subunit","0","0","0","4","","V","V","","","V","","V","4"
"SEMA6A","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A","1","0","0","4","","V","V","","","V","","V","4"
"SH3GL2","SH3-domain GRB2-like 2","1","0","3","16","","V","V","","","V","","V","4"
"SLC16A2","solute carrier family 16, member 2 (thyroid hormone transporter)","0","0","0","0","","V","V","","","V","","V","4"
"SLC35F1","solute carrier family 35, member F1","0","0","0","0","","V","V","","","V","","V","4"
"SMAP2","small ArfGAP2","1","0","0","0","","V","V","","","V","","V","4"
"SNCAIP","synuclein, alpha interacting protein","1","1","1","0","","V","V","","","V","","V","4"
"SOCS5","suppressor of cytokine signaling 5","1","0","1","0","","V","V","","","V","","V","4"
"SORBS2","sorbin and SH3 domain containing 2","0","0","0","0","","V","V","V","V","","","","4"
"SORT1","sortilin 1","2","0","1","4","","V","V","V","","V","","","4"
"SOX9","SRY (sex determining region Y)-box 9","0","0","0","0","","V","V","V","","V","","","4"
"SP1","Sp1 transcription factor","2","6","17","0","","V","V","V","","V","","","4"
"SPTB","spectrin, beta, erythrocytic","0","0","0","5","","V","V","","","V","","V","4"
"ST3GAL6","ST3 beta-galactoside alpha-2,3-sialyltransferase 6","2","0","0","0","","V","V","","","V","V","","4"
"SYS1","SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)","0","0","0","0","","V","V","","V","","","V","4"
"TAF10","TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa","1","0","2","15","","V","V","V","","V","","","4"
"TPM4","tropomyosin 4","3","0","0","3","","V","V","V","","V","","","4"
"TRPC5","transient receptor potential cation channel, subfamily C, member 5","0","0","0","4","","V","V","","V","V","","","4"
"TSR1","TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)","0","0","0","0","","V","V","","V","V","","","4"
"TULP4","tubby like protein 4","0","0","0","0","","V","","","V","V","","V","4"
"UNC5A","unc-5 homolog A (C. elegans)","1","0","1","7","","V","","V","","V","","V","4"
"VEZF1","vascular endothelial zinc finger 1","0","0","0","0","","V","V","V","","","","V","4"
"VSTM2L","V-set and transmembrane domain containing 2 like","0","0","0","0","","V","","","V","V","","V","4"
"YAP1","Yes-associated protein 1","0","0","4","0","","V","V","","V","V","","","4"
"YPEL4","yippee-like 4 (Drosophila)","0","0","0","0","","V","V","","","V","","V","4"
"ZBTB47","zinc finger and BTB domain containing 47","0","0","0","0","","V","","","V","","V","V","4"
"ZFP36L2","ZFP36 ring finger protein-like 2","0","0","0","0","","V","","V","","V","","V","4"
"ZNF275","zinc finger protein 275","0","0","0","0","","V","V","","","V","","V","4"
"ZNF292","zinc finger protein 292","0","0","0","0","","V","V","","","V","","V","4"
"ZNF704","zinc finger protein 704","0","0","0","0","","V","V","","","V","","V","4"
"ZNRF1","zinc and ring finger 1, E3 ubiquitin protein ligase","0","0","0","0","","V","V","","V","V","","","4"
"C1ORF149","","0","0","0","0","","","V","V","V","V","","","4"
"DEK","DEK oncogene","0","0","0","0","","","V","V","V","","","V","4"
"FAM152A","","0","0","0","0","","","V","","V","V","","V","4"
"KIAA1853","","0","0","0","0","","","V","","V","V","","V","4"
"LHFPL3","lipoma HMGIC fusion partner-like 3","0","0","0","0","","","V","","V","V","","V","4"
"RBBP4","retinoblastoma binding protein 4","0","0","6","6","","","V","V","","V","","V","4"
"SNCB","synuclein, beta","0","0","0","0","","","V","","V","V","","V","4"
"ZFPM2","zinc finger protein, FOG family member 2","0","0","0","2","","","V","V","V","","","V","4"
"ACVR2B","activin A receptor, type IIB","2","0","1","5","","V","","V","","","","V","3"
"ADD2","adducin 2 (beta)","0","0","0","0","","V","V","","","V","","","3"
"AFF2","AF4/FMR2 family, member 2","0","0","0","0","","V","V","","","","V","","3"
"ANKFY1","ankyrin repeat and FYVE domain containing 1","0","0","0","0","","V","","","","","V","V","3"
"ANKRD13A","ankyrin repeat domain 13A","0","0","0","0","","V","V","","V","","","","3"
"ANKRD54","ankyrin repeat domain 54","0","0","0","0","","V","","","V","","","V","3"
"AP2M1","adaptor-related protein complex 2, mu 1 subunit","2","3","1","29","","V","V","","","V","","","3"
"ARF1","ADP-ribosylation factor 1","1","2","4","12","","V","V","","V","","","","3"
"ARMCX2","armadillo repeat containing, X-linked 2","0","0","0","0","","V","V","","","V","","","3"
"ASAM","","0","0","0","0","","V","V","","","","","V","3"
"BAG1","BCL2-associated athanogene","1","0","1","0","","V","V","","","","","V","3"
"BAZ1B","bromodomain adjacent to zinc finger domain, 1B","0","0","0","0","","V","","","","V","","V","3"
"BCKDK","branched chain ketoacid dehydrogenase kinase","0","0","0","0","","V","V","","V","","","","3"
"BCL7A","B-cell CLL/lymphoma 7A","0","0","0","0","","V","V","","V","","","","3"
"BMP1","bone morphogenetic protein 1","0","0","0","4","","V","V","","","V","","","3"
"BTBD12","","0","0","0","0","","V","","","V","","","V","3"
"C11ORF61","","0","0","0","0","","V","V","","","V","","","3"
"C16ORF47","chromosome 16 open reading frame 47","0","0","0","0","","V","V","","V","","","","3"
"C19ORF66","chromosome 19 open reading frame 66","0","0","0","0","","V","V","","","V","","","3"
"C1ORF21","chromosome 1 open reading frame 21","0","0","0","0","","V","V","","V","","","","3"
"C22ORF9","","0","0","0","0","","V","","","","V","","V","3"
"C7ORF41","","0","0","0","0","","V","","","V","","V","","3"
"CACNA1E","calcium channel, voltage-dependent, R type, alpha 1E subunit","3","0","0","6","","V","V","","V","","","","3"
"CAMK2N1","calcium/calmodulin-dependent protein kinase II inhibitor 1","0","0","0","0","","V","V","","","V","","","3"
"CCDC134","coiled-coil domain containing 134","0","0","0","0","","V","V","","","","V","","3"
"CCDC97","coiled-coil domain containing 97","0","0","0","0","","V","V","","V","","","","3"
"CCND3","cyclin D3","5","1","4","6","","V","","V","","","","V","3"
"CD2AP","CD2-associated protein","1","0","2","2","","V","V","","","V","","","3"
"CDK6","cyclin-dependent kinase 6","9","3","5","4","","V","V","","","","","V","3"
"CHMP7","charged multivesicular body protein 7","0","0","0","2","","V","V","","","V","","","3"
"CLIP1","CAP-GLY domain containing linker protein 1","0","0","2","5","","V","","","V","","","V","3"
"COL12A1","collagen, type XII, alpha 1","1","0","2","0","","V","V","","","V","","","3"
"CPT1B","carnitine palmitoyltransferase 1B (muscle)","3","1","1","3","","V","","","V","V","","","3"
"CREB3L2","cAMP responsive element binding protein 3-like 2","4","0","0","0","","V","V","","","","","V","3"
"CREBZF","CREB/ATF bZIP transcription factor","0","0","0","0","","V","","V","","","","V","3"
"CTNNBIP1","catenin, beta interacting protein 1","1","0","1","0","","V","V","","","","","V","3"
"DDX11","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11","0","0","0","3","","V","V","","","V","","","3"
"DENND1A","DENN/MADD domain containing 1A","0","0","0","0","","V","","","","V","","V","3"
"DENND5A","DENN/MADD domain containing 5A","0","0","0","0","","V","V","","V","","","","3"
"DGCR14","DiGeorge syndrome critical region gene 14","0","0","0","0","","V","V","","","V","","","3"
"DHDDS","dehydrodolichyl diphosphate synthase","1","0","0","0","","V","","","V","","","V","3"
"DYNC1LI2","dynein, cytoplasmic 1, light intermediate chain 2","2","0","0","0","","V","V","","","V","","","3"
"DYNLT3","dynein, light chain, Tctex-type 3","0","0","0","0","","V","V","","","V","","","3"
"EIF2C4","","0","0","0","2","","V","V","","","","","V","3"
"ELOF1","elongation factor 1 homolog (S. cerevisiae)","0","0","0","0","","V","","","V","","","V","3"
"EN2","engrailed homeobox 2","0","0","0","0","","V","","V","","","","V","3"
"ENG","endoglin","0","0","1","0","","V","V","","","V","","","3"
"EP300","E1A binding protein p300","12","14","29","11","","V","V","V","","","","","3"
"EPB41","erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)","1","0","1","0","","V","V","","","","","V","3"
"ERG","v-ets avian erythroblastosis virus E26 oncogene homolog","0","0","0","0","","V","V","V","","","","","3"
"ESR1","estrogen receptor 1","0","3","11","3","","V","","","V","","V","","3"
"EXOC7","exocyst complex component 7","1","0","3","2","","V","V","","","","V","","3"
"FAM169A","family with sequence similarity 169, member A","0","0","0","0","","V","","","","V","","V","3"
"FAM178A","family with sequence similarity 178, member A","0","0","0","0","","V","V","","","V","","","3"
"FBXO33","F-box protein 33","0","0","0","0","","V","V","","V","","","","3"
"FBXO41","F-box protein 41","0","0","0","0","","V","V","","","","","V","3"
"FES","feline sarcoma oncogene","1","0","3","8","","V","V","V","","","","","3"
"FNDC8","fibronectin type III domain containing 8","0","0","0","0","","V","V","","","","","V","3"
"FOXC1","forkhead box C1","0","0","0","0","","V","","V","","V","","","3"
"FRMD4A","FERM domain containing 4A","0","0","0","0","","V","","","","V","","V","3"
"GAS7","growth arrest-specific 7","0","0","0","0","","V","","","V","","","V","3"
"GBA","glucosidase, beta, acid","4","0","0","0","","V","V","V","","","","","3"
"GGT7","gamma-glutamyltransferase 7","6","0","0","5","","V","V","","","V","","","3"
"GIT1","G protein-coupled receptor kinase interacting ArfGAP 1","3","0","5","0","","V","","","V","","","V","3"
"GK5","glycerol kinase 5 (putative)","0","0","0","0","","V","V","","","","","V","3"
"GM2A","GM2 ganglioside activator","1","0","0","0","","V","","V","","","","V","3"
"GPR124","G protein-coupled receptor 124","0","0","1","0","","V","","V","","","","V","3"
"GPR158","G protein-coupled receptor 158","0","0","0","0","","V","V","","","","","V","3"
"HAND2","heart and neural crest derivatives expressed 2","0","1","0","0","","V","V","","","V","","","3"
"HCFC1","host cell factor C1 (VP16-accessory protein)","0","0","0","0","","V","V","V","","","","","3"
"HNT","","0","0","0","0","","V","V","","","V","","","3"
"HSF5","heat shock transcription factor family member 5","0","0","0","0","","V","V","","","V","","","3"
"IHPK1","","0","0","0","0","","V","V","","","","","V","3"
"ILF3","interleukin enhancer binding factor 3, 90kDa","0","0","0","0","","V","V","V","","","","","3"
"IMPAD1","inositol monophosphatase domain containing 1","0","0","0","0","","V","V","","","","","V","3"
"JARID1C","","0","0","0","0","","V","","V","","","","V","3"
"KIAA0494","","0","0","0","0","","V","V","","","V","","","3"
"KIAA2022","KIAA2022","0","0","0","0","","V","V","","","V","","","3"
"KIF26A","kinesin family member 26A","0","0","0","3","","V","V","","","","","V","3"
"LZTS2","leucine zipper, putative tumor suppressor 2","0","0","0","0","","V","V","","V","","","","3"
"MAPKBP1","mitogen-activated protein kinase binding protein 1","0","0","0","0","","V","V","","","V","","","3"
"MASP1","mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)","2","2","0","6","","V","V","","","","V","","3"
"MAT2A","methionine adenosyltransferase II, alpha","3","0","1","4","","V","V","","V","","","","3"
"MBNL2","muscleblind-like splicing regulator 2","0","0","0","0","","V","V","","V","","","","3"
"MDM1","Mdm1 nuclear protein homolog (mouse)","0","0","0","0","","V","V","","","V","","","3"
"MECP2","methyl CpG binding protein 2 (Rett syndrome)","0","0","0","0","","V","V","","V","","","","3"
"MED21","mediator complex subunit 21","0","0","0","2","","V","V","V","","","","","3"
"MEOX1","mesenchyme homeobox 1","0","0","0","0","","V","","V","V","","","","3"
"MGAT5B","mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B","2","0","0","0","","V","","","V","","","V","3"
